descricao,erro
"CORTE E DOBRA DE AÇO CA-60, DIÂMETRO DE 5,0 MM. AF_06/2022",Proporção ausente
"CONCRETO FCK = 30MPA, TRAÇO 1:2,1:2,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 600 L. AF_05/2021",Proporção ausente
"CONCRETO FCK = 30MPA, TRAÇO 1:2,1:2,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 600 L. AF_05/2021",Proporção ausente
"CONCRETO FCK = 30MPA, TRAÇO 1:2,1:2,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 600 L. AF_05/2021",Proporção ausente
PRENSA MANUAL,Proporção ausente
PRENSA MANUAL,Proporção ausente
"CORTE E DOBRA DE AÇO CA-60, DIÂMETRO DE 5,0 MM. AF_06/2022",Proporção ausente
"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 6,3 MM. AF_06/2022",Proporção ausente
